serial,production_date,shipment_part_serial
10418D1506186731,2015年/第6週,BC4DFB675470
10418D1506186646,2015年/第6週,BC4DFB6752D0
10418D1506190776,2015年/第6週,BC4DFB674B70
10418D1506190155,2015年/第6週,BC4DFB674AC0
10418D1506186658,2015年/第6週,BC4DFB674500
10418D1506190819,2015年/第6週,BC4DFB674DA0
10418D1506190813,2015年/第6週,BC4DFB674D50
10418D1506112255,2015年/第6週,BC4DFB674850
10418D1506190794,2015年/第6週,BC4DFB674EB0
10418D1506190788,2015年/第6週,BC4DFB670C60
10418D1506190817,2015年/第6週,BC4DFB674120
10418D1506190764,2015年/第6週,BC4DFB670600
10418D1506119033,2015年/第6週,BC4DFB659010
10418D1506119032,2015年/第6週,BC4DFB65AE20
10418D1506119556,2015年/第6週,BC4DFB65E580
10418D1506119039,2015年/第6週,BC4DFB65AA10
10418D1506115736,2015年/第6週,BC4DFB659EE0
10418D1506117881,2015年/第6週,BC4DFB65AEA0
10418D1506113706,2015年/第6週,BC4DFB658AC0
10418D1506113670,2015年/第6週,BC4DFB65B050
10418D1506113696,2015年/第6週,BC4DFB659440
10418D1506117876,2015年/第6週,BC4DFB658D40
10418D1506119554,2015年/第6週,BC4DFB659AD0
10418D1506119559,2015年/第6週,BC4DFB65A0C0
10418D1506117928,2015年/第6週,BC4DFB659660
10418D1506118954,2015年/第6週,BC4DFB659950
10418D1506117874,2015年/第6週,BC4DFB659690
10418D1506117933,2015年/第6週,BC4DFB658D10
10418D1506115745,2015年/第6週,BC4DFB65BFF0
10418D1506113335,2015年/第6週,BC4DFB65C080
10418D1506119042,2015年/第6週,BC4DFB65C1B0
10418D1506116104,2015年/第6週,BC4DFB658D20
10418D1506117924,2015年/第6週,BC4DFB65B490
10418D1506117882,2015年/第6週,BC4DFB65F890
10418D1506113716,2015年/第6週,BC4DFB660BF0
10418D1506113720,2015年/第6週,BC4DFB661FC0
10418D1506115719,2015年/第6週,BC4DFB65E860
10418D1506117918,2015年/第6週,BC4DFB65E850
10418D1506117898,2015年/第6週,BC4DFB65E890
10418D1506113344,2015年/第6週,BC4DFB65F460
10418D1506113738,2015年/第6週,BC4DFB666050
10418D1506116066,2015年/第6週,BC4DFB660AD0
10418D1506117911,2015年/第6週,BC4DFB660690
10418D1506117885,2015年/第6週,BC4DFB660AA0
10418D1506119027,2015年/第6週,BC4DFB661280
10418D1506119016,2015年/第6週,BC4DFB6606F0
10418D1506118959,2015年/第6週,BC4DFB660700
10418D1506113710,2015年/第6週,BC4DFB660600
10418D1506119019,2015年/第6週,BC4DFB660670
10418D1506117927,2015年/第6週,BC4DFB6629E0
10418D1506117841,2015年/第6週,BC4DFB663170
10418D1506115723,2015年/第6週,BC4DFB662910
10418D1506117845,2015年/第6週,BC4DFB661520
10418D1506117944,2015年/第6週,BC4DFB6632F0
10418D1506117837,2015年/第6週,BC4DFB662240
10418D1506113709,2015年/第6週,BC4DFB6667E0
10418D1506113717,2015年/第6週,BC4DFB668300
10418D1506113319,2015年/第6週,BC4DFB666C90
10418D1506113329,2015年/第6週,BC4DFB669460
10418D1506113707,2015年/第6週,BC4DFB669400
10418D1506113719,2015年/第6週,BC4DFB6671E0
10418D1506113733,2015年/第6週,BC4DFB6671F0
10418D1506113343,2015年/第6週,BC4DFB667190
10418D1506117935,2015年/第6週,BC4DFB667150
10418D1506113718,2015年/第6週,BC4DFB666E70
10418D1506113721,2015年/第6週,BC4DFB666E30
10418D1506113339,2015年/第6週,BC4DFB666BB0
10418D1506113323,2015年/第6週,BC4DFB66C860
10418D1506113736,2015年/第6週,BC4DFB66C130
10418D1506113741,2015年/第6週,BC4DFB66C100
10418D1506113742,2015年/第6週,BC4DFB6695E0
10418D1506113333,2015年/第6週,BC4DFB6695B0
10418D1506113722,2015年/第6週,BC4DFB668BB0
10418D1506113723,2015年/第6週,BC4DFB66B980
10418D1506113714,2015年/第6週,BC4DFB668D20
10418D1506113671,2015年/第6週,BC4DFB669C90
10418D1506113713,2015年/第6週,BC4DFB6687E0
10418D1506113712,2015年/第6週,BC4DFB668840
10418D1506113715,2015年/第6週,BC4DFB668830
10418D1506117922,2015年/第6週,BC4DFB668F40
10418D1506113711,2015年/第6週,BC4DFB66C0E0
10418D1506113708,2015年/第6週,BC4DFB66BBA0
10418D1506113704,2015年/第6週,BC4DFB66AC20
10418D1506113304,2015年/第6週,BC4DFB66DB20
10418D1506117884,2015年/第6週,BC4DFB66E230
10418D1506115731,2015年/第6週,BC4DFB66FAC0
10418D1506117879,2015年/第6週,BC4DFB66DEA0
10418D1506113305,2015年/第6週,BC4DFB66DB80
10418D1506119036,2015年/第6週,BC4DFB66DF40
10418D1506115717,2015年/第6週,BC4DFB66F150
10418D1506117940,2015年/第6週,BC4DFB66D720
10418D1506117929,2015年/第6週,BC4DFB66F410
10418D1506117888,2015年/第6週,BC4DFB66E860
10418D1506117930,2015年/第6週,BC4DFB66FC60
10418D1506117923,2015年/第6週,BC4DFB66EC00
10418D1506117945,2015年/第6週,BC4DFB66F420
10418D1506119025,2015年/第6週,BC4DFB66EBB0
10418D1506113690,2015年/第6週,BC4DFB66F1F0
10418D1506117943,2015年/第6週,BC4DFB66EDE0
10418D1506117926,2015年/第6週,BC4DFB66E640
10418D1506117931,2015年/第6週,BC4DFB66F190
10418D1506117932,2015年/第6週,BC4DFB66F170
10418D1506113724,2015年/第6週,BC4DFB66F240
10418D1506119031,2015年/第6週,BC4DFB66F2E0
10418D1506119037,2015年/第6週,BC4DFB66F3D0
10418D1506117897,2015年/第6週,BC4DFB6769D0
10418D1506117920,2015年/第6週,BC4DFB6769B0
10418D1506113726,2015年/第6週,BC4DFB676920
10418D1506117894,2015年/第6週,BC4DFB677670
10418D1506115715,2015年/第6週,BC4DFB677290
10418D1506119041,2015年/第6週,BC4DFB678710
10418D1506117880,2015年/第6週,BC4DFB6776E0
10418D1506119580,2015年/第6週,BC4DFB659100
10418D1506118949,2015年/第6週,BC4DFB65AF50
10418D1506117893,2015年/第6週,BC4DFB65AF70
10418D1506115737,2015年/第6週,BC4DFB659760
10418D1506118969,2015年/第6週,BC4DFB6590F0
10418D1506117901,2015年/第6週,BC4DFB65B000
10418D1506117895,2015年/第6週,BC4DFB6597E0
10418D1506116105,2015年/第6週,BC4DFB659740
10418D1506114384,2015年/第6週,BC4DFB65D3B0
10418D1506118956,2015年/第6週,BC4DFB65A410
10418D1506116081,2015年/第6週,BC4DFB65AFF0
10418D1506116096,2015年/第6週,BC4DFB658EC0
10418D1506116087,2015年/第6週,BC4DFB6598F0
10418D1506116099,2015年/第6週,BC4DFB659A90
10418D1506118962,2015年/第6週,BC4DFB6599D0
10418D1506116093,2015年/第6週,BC4DFB659B70
10418D1506116062,2015年/第6週,BC4DFB659B20
10418D1506116101,2015年/第6週,BC4DFB658EA0
10418D1506115743,2015年/第6週,BC4DFB65C0E0
10418D1506118970,2015年/第6週,BC4DFB65B530
10418D1506119545,2015年/第6週,BC4DFB65C1F0
10418D1506116088,2015年/第6週,BC4DFB65C050
10418D1506114378,2015年/第6週,BC4DFB65B8E0
10418D1506114363,2015年/第6週,BC4DFB65DB40
10418D1506114385,2015年/第6週,BC4DFB65D900
10418D1506119551,2015年/第6週,BC4DFB661170
10418D1506113743,2015年/第6週,BC4DFB65FF50
10418D1506119583,2015年/第6週,BC4DFB660ED0
10418D1506119581,2015年/第6週,BC4DFB660DD0
10418D1506115730,2015年/第6週,BC4DFB660130
10418D1506119644,2015年/第6週,BC4DFB661130
10418D1506119547,2015年/第6週,BC4DFB65EF60
10418D1506114370,2015年/第6週,BC4DFB663DE0
10418D1506119550,2015年/第6週,BC4DFB65F130
10418D1506116100,2015年/第6週,BC4DFB660AF0
10418D1506118965,2015年/第6週,BC4DFB6612C0
10418D1506117902,2015年/第6週,BC4DFB6609C0
10418D1506116098,2015年/第6週,BC4DFB661000
10418D1506117913,2015年/第6週,BC4DFB660FF0
10418D1506113737,2015年/第6週,BC4DFB661FF0
10418D1506119549,2015年/第6週,BC4DFB6628F0
10418D1506114347,2015年/第6週,BC4DFB661FE0
10418D1506113745,2015年/第6週,BC4DFB663E90
10418D1506114374,2015年/第6週,BC4DFB662870
10418D1506113693,2015年/第6週,BC4DFB6636E0
10418D1506116089,2015年/第6週,BC4DFB663640
10418D1506113702,2015年/第6週,BC4DFB6635B0
10418D1506114349,2015年/第6週,BC4DFB663580
10418D1506114360,2015年/第6週,BC4DFB663EC0
10418D1506114386,2015年/第6週,BC4DFB668CB0
10418D1506119605,2015年/第6週,BC4DFB667DB0
10418D1506113686,2015年/第6週,BC4DFB668040
10418D1506113672,2015年/第6週,BC4DFB6680D0
10418D1506113679,2015年/第6週,BC4DFB667CF0
10418D1506114365,2015年/第6週,BC4DFB668800
10418D1506114375,2015年/第6週,BC4DFB668A60
10418D1506113688,2015年/第6週,BC4DFB667040
10418D1506113677,2015年/第6週,BC4DFB669120
10418D1506113740,2015年/第6週,BC4DFB667160
10418D1506114351,2015年/第6週,BC4DFB668C50
10418D1506114346,2015年/第6週,BC4DFB668B80
10418D1506114369,2015年/第6週,BC4DFB669410
10418D1506113744,2015年/第6週,BC4DFB667210
10418D1506114367,2015年/第6週,BC4DFB666E20
